instrument,datetime,custom_v2_ret,custom_v2_position,custom_v2_ret_5,custom_v2_ret_20,custom_v2_ret_60,flowchart_ret,flowchart_position,flowchart_ret_5,flowchart_ret_20,flowchart_ret_60,optimized_ret,optimized_position,optimized_ret_5,optimized_ret_20,optimized_ret_60,regime_ret,regime_position,regime_ret_5,regime_ret_20,regime_ret_60,regime_tp_ret,regime_tp_position,regime_tp_ret_5,regime_tp_ret_20,regime_tp_ret_60,official_v1_ret,official_v1_position,official_v1_ret_5,official_v1_ret_20,official_v1_ret_60,enhanced_ret,enhanced_position,enhanced_ret_5,enhanced_ret_20,enhanced_ret_60,pullback_add_vol_ret,pullback_add_vol_position,pullback_add_vol_ret_5,pullback_add_vol_ret_20,pullback_add_vol_ret_60
ETH4H,2024-12-01 16:00:00,-0.0054880943759103,1.0,0.0011415864928205,0.0246198406195285,0.106550148621479,-0.0054880943759103,0.0,0.0011415864928205,0.0246198406195285,0.106550148621479,-0.0054880943759103,1.0,0.0011415864928205,0.0246198406195285,0.106550148621479,-0.0054880943759103,1.0,0.0011415864928205,0.0246198406195285,0.106550148621479,-0.0054880943759103,1.0,0.0011415864928205,0.0246198406195285,0.106550148621479,-0.0054880943759103,0.3,0.0011415864928205,0.0246198406195285,0.106550148621479,-0.0054880943759103,0.5,0.0011415864928205,0.0246198406195285,0.106550148621479,-0.0054880943759103,0.25,0.0011415864928205,0.0246198406195285,0.106550148621479
ETH4H,2024-12-01 20:00:00,-4.315448496483576e-05,1.0,0.0001561132557126,0.0463399526130572,0.1037851862107051,-4.315448496483576e-05,0.0,0.0001561132557126,0.0463399526130572,0.1037851862107051,-4.315448496483576e-05,1.0,0.0001561132557126,0.0463399526130572,0.1037851862107051,-4.315448496483576e-05,1.0,0.0001561132557126,0.0463399526130572,0.1037851862107051,-4.315448496483576e-05,1.0,0.0001561132557126,0.0463399526130572,0.1037851862107051,-4.315448496483576e-05,0.3,0.0001561132557126,0.0463399526130572,0.1037851862107051,-4.315448496483576e-05,0.5,0.0001561132557126,0.0463399526130572,0.1037851862107051,-4.315448496483576e-05,0.25,0.0001561132557126,0.0463399526130572,0.1037851862107051
ETH4H,2024-12-02 00:00:00,-0.0059663650217804,1.0,-0.0043967555749544,0.0308534886635584,0.0948690126285207,-0.0059663650217804,0.0,-0.0043967555749544,0.0308534886635584,0.0948690126285207,-0.0059663650217804,1.0,-0.0043967555749544,0.0308534886635584,0.0948690126285207,-0.0059663650217804,1.0,-0.0043967555749544,0.0308534886635584,0.0948690126285207,-0.0059663650217804,1.0,-0.0043967555749544,0.0308534886635584,0.0948690126285207,-0.0059663650217804,0.3,-0.0043967555749544,0.0308534886635584,0.0948690126285207,-0.0059663650217804,0.5,-0.0043967555749544,0.0308534886635584,0.0948690126285207,-0.0059663650217804,0.25,-0.0043967555749544,0.0308534886635584,0.0948690126285207
ETH4H,2024-12-02 04:00:00,-0.0051284416863619,1.0,-0.0068562830879773,0.0249643567626931,0.0907714528363672,-0.0051284416863619,0.0,-0.0068562830879773,0.0249643567626931,0.0907714528363672,-0.0051284416863619,0.0,-0.0068562830879773,0.0249643567626931,0.0907714528363672,-0.0051284416863619,0.0,-0.0068562830879773,0.0249643567626931,0.0907714528363672,-0.0051284416863619,0.0,-0.0068562830879773,0.0249643567626931,0.0907714528363672,-0.0051284416863619,0.0,-0.0068562830879773,0.0249643567626931,0.0907714528363672,-0.0051284416863619,0.0,-0.0068562830879773,0.0249643567626931,0.0907714528363672,-0.0051284416863619,0.0,-0.0068562830879773,0.0249643567626931,0.0907714528363672
ETH4H,2024-12-02 08:00:00,-0.0211022711465921,1.0,-0.0377283267156095,0.0023893686069182,0.0749984229271583,-0.0211022711465921,-1.0,-0.0377283267156095,0.0023893686069182,0.0749984229271583,-0.0211022711465921,0.0,-0.0377283267156095,0.0023893686069182,0.0749984229271583,-0.0211022711465921,0.0,-0.0377283267156095,0.0023893686069182,0.0749984229271583,-0.0211022711465921,0.0,-0.0377283267156095,0.0023893686069182,0.0749984229271583,-0.0211022711465921,0.0,-0.0377283267156095,0.0023893686069182,0.0749984229271583,-0.0211022711465921,0.0,-0.0377283267156095,0.0023893686069182,0.0749984229271583,-0.0211022711465921,0.0,-0.0377283267156095,0.0023893686069182,0.0749984229271583
ETH4H,2024-12-02 12:00:00,0.0229391539846086,0.0,-0.0093010783550906,0.0361274477217697,0.1071014381114104,0.0229391539846086,-1.0,-0.0093010783550906,0.0361274477217697,0.1071014381114104,0.0229391539846086,0.0,-0.0093010783550906,0.0361274477217697,0.1071014381114104,0.0229391539846086,0.0,-0.0093010783550906,0.0361274477217697,0.1071014381114104,0.0229391539846086,0.0,-0.0093010783550906,0.0361274477217697,0.1071014381114104,0.0229391539846086,0.0,-0.0093010783550906,0.0361274477217697,0.1071014381114104,0.0229391539846086,0.0,-0.0093010783550906,0.0361274477217697,0.1071014381114104,0.0229391539846086,0.0,-0.0093010783550906,0.0361274477217697,0.1071014381114104
ETH4H,2024-12-02 16:00:00,-0.0161764345384173,0.0,-0.0254343584085431,0.0060045704571387,0.1004270871514977,-0.0161764345384173,-1.0,-0.0254343584085431,0.0060045704571387,0.1004270871514977,-0.0161764345384173,0.0,-0.0254343584085431,0.0060045704571387,0.1004270871514977,-0.0161764345384173,0.0,-0.0254343584085431,0.0060045704571387,0.1004270871514977,-0.0161764345384173,0.0,-0.0254343584085431,0.0060045704571387,0.1004270871514977,-0.0161764345384173,0.0,-0.0254343584085431,0.0060045704571387,0.1004270871514977,-0.0161764345384173,0.0,-0.0254343584085431,0.0060045704571387,0.1004270871514977,-0.0161764345384173,0.0,-0.0254343584085431,0.0060045704571387,0.1004270871514977
ETH4H,2024-12-02 20:00:00,0.0088012181616832,0.0,-0.0106667752250795,0.0094168952476894,0.0954705825879577,0.0088012181616832,-1.0,-0.0106667752250795,0.0094168952476894,0.0954705825879577,0.0088012181616832,0.0,-0.0106667752250795,0.0094168952476894,0.0954705825879577,0.0088012181616832,0.0,-0.0106667752250795,0.0094168952476894,0.0954705825879577,0.0088012181616832,0.0,-0.0106667752250795,0.0094168952476894,0.0954705825879577,0.0088012181616832,0.0,-0.0106667752250795,0.0094168952476894,0.0954705825879577,0.0088012181616832,0.0,-0.0106667752250795,0.0094168952476894,0.0954705825879577,0.0088012181616832,0.0,-0.0106667752250795,0.0094168952476894,0.0954705825879577
ETH4H,2024-12-03 00:00:00,-0.0011114800798071,0.0,-0.0066498136185247,0.0167286815356946,0.0888988419061697,-0.0011114800798071,-1.0,-0.0066498136185247,0.0167286815356946,0.0888988419061697,-0.0011114800798071,0.0,-0.0066498136185247,0.0167286815356946,0.0888988419061697,-0.0011114800798071,0.0,-0.0066498136185247,0.0167286815356946,0.0888988419061697,-0.0011114800798071,0.0,-0.0066498136185247,0.0167286815356946,0.0888988419061697,-0.0011114800798071,0.0,-0.0066498136185247,0.0167286815356946,0.0888988419061697,-0.0011114800798071,0.0,-0.0066498136185247,0.0167286815356946,0.0888988419061697,-0.0011114800798071,0.0,-0.0066498136185247,0.0167286815356946,0.0888988419061697
ETH4H,2024-12-03 04:00:00,-0.0064070510530971,0.0,0.0080454064749702,0.0079132763122101,0.0838726058925991,-0.0064070510530971,-1.0,0.0080454064749702,0.0079132763122101,0.0838726058925991,-0.0064070510530971,0.0,0.0080454064749702,0.0079132763122101,0.0838726058925991,-0.0064070510530971,0.0,0.0080454064749702,0.0079132763122101,0.0838726058925991,-0.0064070510530971,0.0,0.0080454064749702,0.0079132763122101,0.0838726058925991,-0.0064070510530971,0.0,0.0080454064749702,0.0079132763122101,0.0838726058925991,-0.0064070510530971,0.0,0.0080454064749702,0.0079132763122101,0.0838726058925991,-0.0064070510530971,0.0,0.0080454064749702,0.0079132763122101,0.0838726058925991
