date,datetime,open,high,low,close,volume
2025-12-13 16:00:00+00:00,2025-12-13 16:00:00+00:00,90100.6,90475.0,88632.9,89027.7,2653.45626892
2025-12-14 16:00:00+00:00,2025-12-14 16:00:00+00:00,89027.7,90021.9,86626.6,87042.9,4987.02496503
2025-12-15 16:00:00+00:00,2025-12-15 16:00:00+00:00,87044.6,88180.0,85147.7,87968.9,6306.7639833
2025-12-16 16:00:00+00:00,2025-12-16 16:00:00+00:00,87968.9,90375.0,86211.5,87231.9,5772.88883195
2025-12-17 16:00:00+00:00,2025-12-17 16:00:00+00:00,87231.7,89480.0,85328.4,88513.7,6547.81262944
2025-12-18 16:00:00+00:00,2025-12-18 16:00:00+00:00,88513.7,89426.3,84456.2,87957.9,8118.96283087
2025-12-19 16:00:00+00:00,2025-12-19 16:00:00+00:00,87958.0,88882.3,86846.8,88175.0,3091.22215371
2025-12-20 16:00:00+00:00,2025-12-20 16:00:00+00:00,88175.1,89081.6,87607.6,88071.1,2628.4379342
2025-12-21 16:00:00+00:00,2025-12-21 16:00:00+00:00,88071.0,90598.0,87886.9,89733.9,5627.6738257
2025-12-22 16:00:00+00:00,2025-12-22 16:00:00+00:00,89733.9,90118.0,86578.9,87444.9,5270.61910807
2025-12-23 16:00:00+00:00,2025-12-23 16:00:00+00:00,87444.9,88364.9,86400.0,87043.1,3813.61500801
2025-12-24 16:00:00+00:00,2025-12-24 16:00:00+00:00,87043.1,88603.5,86919.0,88367.1,2156.88646065
2025-12-25 16:00:00+00:00,2025-12-25 16:00:00+00:00,88367.2,89569.3,86666.0,87139.0,5464.71588091
2025-12-26 16:00:00+00:00,2025-12-26 16:00:00+00:00,87139.0,87791.7,86816.7,87559.5,2902.55676813
2025-12-27 16:00:00+00:00,2025-12-27 16:00:00+00:00,87559.5,88088.0,87446.8,87839.2,2861.09960891
2025-12-28 16:00:00+00:00,2025-12-28 16:00:00+00:00,87839.2,90389.4,86804.2,87686.7,6650.25031353
2025-12-29 16:00:00+00:00,2025-12-29 16:00:00+00:00,87686.6,89152.5,86825.6,89005.0,3914.15477275
2025-12-30 16:00:00+00:00,2025-12-30 16:00:00+00:00,89000.6,89400.0,87777.3,87945.0,3952.8236171
2025-12-31 16:00:00+00:00,2025-12-31 16:00:00+00:00,87945.0,88109.0,87240.0,88034.0,2422.6809388
2026-01-01 16:00:00+00:00,2026-01-01 16:00:00+00:00,88034.1,90170.3,87878.4,89411.0,5301.02520704
2026-01-02 16:00:00+00:00,2026-01-02 16:00:00+00:00,89410.9,90960.0,89200.3,89971.4,4017.27765804
2026-01-03 16:00:00+00:00,2026-01-03 16:00:00+00:00,89972.9,91820.0,89921.7,91332.9,4155.73434393
2026-01-04 16:00:00+00:00,2026-01-04 16:00:00+00:00,91332.9,94010.0,90875.0,93957.1,5561.32108167
2026-01-05 16:00:00+00:00,2026-01-05 16:00:00+00:00,93957.0,94793.7,93140.0,93648.1,5877.3023875
2026-01-06 16:00:00+00:00,2026-01-06 16:00:00+00:00,93648.2,93853.5,91019.3,91347.0,7593.02120629
2026-01-07 16:00:00+00:00,2026-01-07 16:00:00+00:00,91347.0,91788.3,89327.8,90790.5,6260.37616217
2026-01-08 16:00:00+00:00,2026-01-08 16:00:00+00:00,90790.5,92020.2,89700.0,91183.9,5608.70712187
2026-01-09 16:00:00+00:00,2026-01-09 16:00:00+00:00,91183.8,91781.9,90124.7,90661.2,3202.66700551
2026-01-10 16:00:00+00:00,2026-01-10 16:00:00+00:00,90661.1,91199.8,90396.3,90875.0,1929.71781482
2026-01-11 16:00:00+00:00,2026-01-11 16:00:00+00:00,90875.0,92520.6,90132.1,91666.9,5026.15011015
2026-01-12 16:00:00+00:00,2026-01-12 16:00:00+00:00,91666.0,93456.0,90948.4,93455.9,6367.4861015
2026-01-13 16:00:00+00:00,2026-01-13 16:00:00+00:00,93455.9,97088.0,93080.7,96755.6,11333.33012453
